   50000  0.207243E-03   0.437313E-05   0.999999E+00   0.567815E-03
  100000  0.995371E-04   0.410899E-05   0.999993E+00   0.797075E-03
  150000  0.558752E-04   0.303955E-05   0.999991E+00   0.859127E-03
  200000  0.319964E-04   0.414612E-06   0.999990E+00   0.871789E-03
  250000  0.303494E-04   0.737345E-06   0.999990E+00   0.875365E-03
  300000  0.324238E-04   0.123744E-05   0.999990E+00   0.876801E-03
  350000  0.327179E-04   0.157309E-05   0.999990E+00   0.877484E-03
  400000  0.325458E-04   0.157506E-05   0.999990E+00   0.877829E-03
  450000  0.325133E-04   0.143796E-05   0.999989E+00   0.878003E-03
  500000  0.325188E-04   0.144609E-05   0.999989E+00   0.878092E-03
  550000  0.325153E-04   0.145050E-05   0.999989E+00   0.878136E-03
  600000  0.325226E-04   0.145030E-05   0.999989E+00   0.878161E-03
  650000  0.325088E-04   0.145002E-05   0.999989E+00   0.878174E-03
  700000  0.325033E-04   0.144750E-05   0.999989E+00   0.878182E-03
  750000  0.325050E-04   0.144730E-05   0.999989E+00   0.878185E-03
  800000  0.325091E-04   0.144679E-05   0.999989E+00   0.878187E-03
  850000  0.325233E-04   0.144156E-05   0.999989E+00   0.878187E-03
  900000  0.325107E-04   0.144633E-05   0.999989E+00   0.878187E-03
  950000  0.325194E-04   0.144978E-05   0.999990E+00   0.878187E-03
 1000000  0.325217E-04   0.144739E-05   0.999989E+00   0.878187E-03
 1000000  0.325217E-04   0.144739E-05   0.999989E+00   0.878187E-03
