   50000 -0.140383E-01   0.113551E-01   0.998352E+00
  100000 -0.736916E-02   0.384632E-02   0.997959E+00
  150000 -0.631554E-02   0.281677E-02   0.997926E+00
  200000 -0.622396E-02   0.267655E-02   0.997907E+00
  250000 -0.623348E-02   0.266896E-02   0.997895E+00
  300000 -0.624677E-02   0.267336E-02   0.997888E+00
  350000 -0.625659E-02   0.267689E-02   0.997885E+00
  400000 -0.626268E-02   0.267894E-02   0.997882E+00
  450000 -0.626555E-02   0.267963E-02   0.997882E+00
  500000 -0.626718E-02   0.268032E-02   0.997881E+00
  550000 -0.626791E-02   0.268058E-02   0.997881E+00
  600000 -0.626838E-02   0.268069E-02   0.997880E+00
  650000 -0.626858E-02   0.268073E-02   0.997881E+00
  700000 -0.626874E-02   0.268077E-02   0.997881E+00
  750000 -0.626879E-02   0.268071E-02   0.997881E+00
  800000 -0.626881E-02   0.268067E-02   0.997881E+00
  850000 -0.626884E-02   0.268082E-02   0.997881E+00
  900000 -0.626880E-02   0.268069E-02   0.997881E+00
  950000 -0.626880E-02   0.268076E-02   0.997881E+00
 1000000 -0.626879E-02   0.268078E-02   0.997881E+00
